Month,Region,Category,Product,Revenue,Profit
Apr,South,Clothing,E,5599,2046
May,West,Clothing,A,2445,141
Aug,East,Clothing,B,8727,139
Feb,South,Electronics,D,3113,2027
Apr,North,Furniture,C,2633,2769
Mar,East,Furniture,B,2753,2570
Jun,North,Clothing,C,3848,555
Dec,North,Furniture,E,3458,2823
Aug,North,Clothing,D,6590,1978
Jul,South,Clothing,C,1404,1491
Mar,North,Clothing,D,9651,2886
Dec,West,Furniture,C,4235,473
Jan,East,Clothing,A,6806,378
Dec,East,Furniture,A,9221,2204
Dec,West,Furniture,A,3238,548
Dec,North,Electronics,D,7750,1088
Feb,South,Clothing,B,8665,164
Mar,West,Furniture,D,2482,662
Oct,West,Furniture,D,4646,363
Dec,West,Furniture,C,3304,2236
May,South,Electronics,A,2401,1527
May,South,Electronics,B,4678,2900
Aug,South,Electronics,E,6103,1461
Sep,East,Clothing,C,7789,2851
Mar,East,Electronics,D,4606,1518
Apr,East,Electronics,E,5709,2900
Mar,North,Furniture,B,2004,2333
Aug,North,Furniture,B,1776,2865
Sep,South,Clothing,C,7737,590
May,North,Clothing,E,2992,1400
Mar,West,Furniture,E,8659,2953
Jul,West,Electronics,B,7018,2620
Jan,West,Furniture,E,3502,1928
Aug,South,Furniture,E,3153,627
Jun,West,Furniture,E,7648,1085
Jul,North,Furniture,A,1628,1846
Nov,South,Electronics,E,8803,870
Feb,East,Furniture,D,4921,790
Jan,East,Furniture,D,1116,964
Jun,North,Electronics,A,2329,1247
Nov,North,Furniture,E,3612,1371
May,East,Clothing,A,2444,1761
Jul,North,Electronics,E,7483,2351
Aug,North,Electronics,C,3374,440
Jun,West,Clothing,D,7370,2917
Feb,East,Electronics,A,8398,181
May,East,Electronics,A,9474,1617
Aug,East,Electronics,C,2490,657
Oct,West,Electronics,B,8913,532
Aug,South,Electronics,B,2914,2368
Jun,West,Electronics,B,4442,1539
Nov,West,Clothing,D,5750,355
Jul,West,Furniture,B,2483,1105
Sep,South,Furniture,C,4553,2204
Jan,South,Clothing,E,5803,606
Jun,South,Furniture,B,3842,2215
Oct,South,Furniture,E,2148,2831
Mar,North,Electronics,E,3559,443
Jul,West,Electronics,E,2377,2942
May,North,Clothing,B,3930,1885
Jan,West,Furniture,D,4862,249
Oct,East,Clothing,A,7845,1597
Nov,South,Furniture,C,1665,2110
Nov,North,Electronics,A,6530,2152
May,South,Furniture,B,5467,2108
Mar,North,Electronics,A,7656,2335
May,West,Furniture,D,4761,253
Aug,North,Clothing,C,5051,344
Oct,West,Electronics,B,8044,2310
Aug,South,Clothing,C,8052,2946
Nov,North,Furniture,C,7361,2065
Nov,North,Clothing,B,3178,2126
Sep,North,Clothing,D,6539,769
Nov,North,Clothing,A,5700,105
Nov,East,Furniture,A,8014,2009
Jun,North,Electronics,A,9161,997
Sep,West,Furniture,C,8671,1121
Jan,West,Clothing,A,4558,2629
Dec,North,Electronics,A,3271,1450
Feb,South,Furniture,E,3006,2362
Jun,East,Electronics,B,6538,2574
Oct,East,Electronics,D,9483,444
Jan,North,Clothing,B,7961,869
Jan,West,Furniture,B,1428,2760
Feb,North,Clothing,C,4905,216
Feb,East,Electronics,E,6074,1604
May,West,Electronics,B,6454,2153
Nov,North,Furniture,C,1789,1762
May,East,Clothing,E,5004,1218
Jun,North,Furniture,A,5677,1026
Feb,South,Electronics,D,9219,929
Aug,South,Electronics,C,8183,2191
Feb,South,Clothing,C,3786,2547
Jan,East,Furniture,D,2545,322
Jul,East,Electronics,C,4657,2692
Aug,West,Clothing,C,8833,2270
Mar,West,Electronics,A,1428,1995
Jan,West,Electronics,D,3949,949
Oct,East,Furniture,A,9871,2193
Dec,West,Furniture,A,3065,1892
May,North,Electronics,D,3249,1056
Apr,South,Clothing,E,8580,2736
Mar,West,Furniture,E,1862,1846
Mar,North,Electronics,E,7722,1842
Oct,North,Electronics,D,4646,736
Dec,South,Clothing,B,8227,311
Apr,North,Electronics,D,9842,2911
Mar,North,Electronics,C,7811,2023
Oct,North,Furniture,B,6949,267
Aug,East,Furniture,B,5475,174
Sep,North,Furniture,B,6076,1928
Apr,South,Clothing,A,4468,2743
Apr,West,Electronics,D,1658,405
Jul,West,Clothing,B,7862,2715
May,South,Electronics,E,5752,513
Oct,South,Electronics,A,6375,615
May,West,Clothing,A,6965,2943
Jul,South,Clothing,C,7905,2282
Jul,East,Furniture,B,4260,245
Oct,North,Clothing,C,3801,1203
Jun,North,Furniture,C,4751,2227
Jan,East,Clothing,E,5395,1041
Apr,East,Electronics,C,4467,674
Dec,West,Furniture,E,3600,2143
Dec,East,Furniture,C,4078,1730
Dec,West,Electronics,C,3336,2603
Dec,South,Electronics,C,6880,919
Dec,West,Clothing,A,4462,2227
Apr,West,Furniture,E,1404,999
May,East,Electronics,B,2517,2322
Nov,North,Clothing,E,8241,1639
Mar,West,Electronics,C,2884,2184
Apr,South,Clothing,B,5912,2895
May,West,Furniture,A,7579,1138
Mar,West,Furniture,E,6953,2349
Aug,South,Furniture,E,8062,2957
Sep,West,Electronics,A,1986,2175
Sep,South,Furniture,B,3919,2615
Mar,North,Clothing,A,5727,1816
Aug,West,Electronics,D,9317,767
Apr,West,Furniture,D,3112,2193
Jan,South,Furniture,D,4011,396
May,North,Clothing,E,5255,1868
Feb,West,Clothing,E,5507,2354
Feb,South,Clothing,B,9432,2440
Mar,North,Furniture,E,2236,1760
May,North,Furniture,D,3572,1671
Feb,West,Electronics,D,6094,2354
Aug,North,Electronics,C,4875,2372
Dec,North,Clothing,E,6189,1048
Oct,South,Clothing,E,4402,970
Sep,West,Electronics,E,9891,1934
Jan,South,Clothing,C,7641,1894
Jul,East,Furniture,C,3803,2337
Nov,North,Clothing,D,4085,940
Nov,South,Furniture,A,5634,1530
Jun,East,Clothing,E,4075,927
Apr,West,Furniture,E,6480,1358
Feb,East,Furniture,C,7116,2409
Mar,South,Furniture,B,8307,1243
May,East,Clothing,E,6858,466
Feb,South,Clothing,C,9218,1211
Oct,West,Furniture,D,2441,2891
May,East,Furniture,A,9552,2109
Jul,East,Furniture,E,3261,153
Jun,East,Electronics,D,5561,2799
Jan,East,Electronics,D,3863,1791
Apr,East,Electronics,D,8007,1467
Nov,North,Electronics,E,9973,2875
May,South,Electronics,C,2920,1623
Jul,West,Clothing,B,4503,2090
Jun,East,Electronics,E,3560,2656
May,West,Furniture,C,4326,1058
Oct,West,Clothing,A,8305,2707
Jun,West,Furniture,C,7628,1195
Jul,South,Electronics,E,7837,214
Oct,West,Furniture,E,4395,135
Nov,North,Furniture,D,1893,1334
May,East,Electronics,C,7010,2958
Feb,North,Electronics,A,4545,1249
Sep,East,Electronics,A,4785,1898
Sep,South,Electronics,B,4569,2155
Jan,East,Clothing,E,5088,280
Jul,North,Furniture,C,5658,1040
Jan,North,Electronics,D,1524,2278
Apr,West,Clothing,B,5916,1551
Nov,South,Clothing,D,8483,2015
Jan,North,Electronics,E,9134,496
Mar,West,Furniture,D,4700,2471
May,East,Electronics,A,5788,2118
Feb,South,Electronics,A,9191,1072
Jul,West,Clothing,B,8404,1795
Aug,West,Electronics,D,2911,1420
Jun,East,Clothing,B,9062,1916
Jun,South,Furniture,A,1107,2451
Oct,North,Electronics,B,4086,1651
Sep,East,Furniture,D,2262,2166
Sep,West,Clothing,E,7593,795
Sep,East,Electronics,A,6883,2080
Jun,East,Clothing,E,4607,1094
Apr,South,Electronics,A,6901,2389
Sep,North,Clothing,E,9846,849
Feb,East,Clothing,B,9357,2631
Nov,South,Clothing,A,5284,2393
Mar,East,Furniture,C,7798,1391
Mar,West,Clothing,A,1788,964
Oct,South,Electronics,B,5368,2606
Mar,East,Electronics,B,8116,491
Feb,South,Clothing,C,2748,109
Feb,North,Electronics,B,4776,1657
Oct,West,Furniture,B,5526,870
Aug,West,Clothing,A,8363,1244
Aug,North,Electronics,B,7778,1511
Apr,South,Furniture,A,1629,2161
Apr,West,Furniture,C,9736,2349
Oct,South,Electronics,C,1758,331
Jun,West,Clothing,E,5507,1467
Nov,North,Furniture,A,7677,2301
Aug,South,Clothing,D,3894,2010
Oct,North,Electronics,D,5632,580
Aug,East,Furniture,A,2211,1012
Apr,West,Furniture,E,2931,1805
Sep,West,Electronics,E,1586,2983
Mar,South,Clothing,B,6171,1360
Oct,South,Electronics,D,1272,189
Mar,East,Clothing,C,7756,1170
Jul,West,Electronics,A,2824,2446
May,North,Clothing,E,1927,1761
May,East,Clothing,C,7334,1779
Aug,North,Furniture,D,1106,2707
Apr,South,Clothing,C,4149,1241
Apr,West,Clothing,D,2594,2763
Nov,West,Furniture,A,7057,2298
Sep,North,Furniture,D,3868,1971
Jan,South,Furniture,C,8715,1350
Mar,West,Furniture,E,6276,2357
Apr,South,Furniture,D,5604,715
Jan,North,Clothing,B,5439,1063
Aug,West,Furniture,A,1723,2759
Dec,South,Furniture,C,4452,2551
Aug,West,Furniture,B,2088,1823
Jul,North,Electronics,A,4671,1863
Nov,South,Electronics,A,2780,1255
Feb,North,Furniture,C,3170,1309
Jan,North,Electronics,A,9055,1382
Apr,West,Furniture,C,5314,2889
May,East,Clothing,E,8143,1595
May,South,Electronics,B,1227,1924
Nov,North,Electronics,E,9790,368
Sep,South,Clothing,D,2113,1970
Nov,North,Furniture,E,3327,2545
Jun,South,Electronics,A,1099,2382
Oct,West,Electronics,A,5599,262
May,East,Clothing,E,3402,499
Mar,West,Electronics,E,7924,2169
Nov,South,Clothing,B,7215,355
Apr,West,Furniture,C,3588,680
Dec,North,Electronics,A,7814,957
Jan,East,Furniture,B,4259,2576
Apr,East,Clothing,C,7121,2043
Jul,South,Electronics,B,5514,2197
May,West,Electronics,E,1011,2378
Sep,East,Furniture,E,7677,1923
Nov,North,Furniture,D,8121,1026
Apr,West,Furniture,A,3397,2664
Mar,West,Furniture,C,6562,1101
Dec,West,Clothing,E,4595,1565
Nov,West,Electronics,D,4579,1729
Feb,East,Electronics,D,6669,2739
Jun,East,Electronics,C,8391,2936
Feb,West,Clothing,A,4378,873
Nov,East,Furniture,C,2444,678
Sep,North,Clothing,B,9526,1614
Jun,West,Electronics,E,8286,1037
Jan,West,Furniture,B,9190,2354
Jun,East,Furniture,D,2335,2074
Feb,North,Furniture,E,3556,2725
May,East,Electronics,B,3939,238
Apr,West,Clothing,E,3859,590
May,East,Electronics,B,4725,1559
Aug,West,Furniture,C,5434,2344
Apr,South,Clothing,B,8183,1722
Oct,South,Clothing,E,9028,1595
Aug,East,Electronics,B,4921,2544
Mar,South,Furniture,E,8303,2020
Jul,East,Electronics,C,1458,1187
Mar,East,Electronics,B,9169,1955
Nov,South,Electronics,E,6009,587
Aug,North,Furniture,C,7779,855
Feb,East,Clothing,A,7231,1286
Apr,North,Electronics,C,6376,1321
Mar,South,Clothing,B,1978,2922
Feb,South,Furniture,B,9055,287
Jan,North,Furniture,C,4882,568
Aug,South,Furniture,B,3550,2577
Feb,West,Clothing,B,6379,1428
Feb,East,Clothing,C,6673,342
Mar,West,Electronics,E,9245,2158
Dec,West,Furniture,D,4246,1214
Aug,West,Clothing,A,4182,1055
Sep,East,Furniture,C,5923,1168
Feb,North,Furniture,B,2043,1483
Jun,East,Electronics,D,2466,2657
Jan,North,Electronics,A,9961,472
Jun,North,Electronics,A,8355,1433
Feb,North,Clothing,A,6867,759
Feb,South,Furniture,A,5614,1598
Dec,West,Clothing,C,2814,459
Oct,North,Clothing,D,4406,515
Oct,East,Clothing,E,2639,216
Sep,West,Electronics,E,6513,1974
Apr,South,Furniture,B,3029,1097
Aug,East,Furniture,D,1719,2096
Aug,West,Clothing,D,1787,1041
Mar,East,Electronics,E,5816,926
Jan,East,Electronics,B,7738,2319
Jan,West,Electronics,A,6010,564
Sep,East,Clothing,C,3958,2250
May,West,Clothing,B,6386,164
May,East,Electronics,E,5084,2382
Nov,East,Electronics,A,1961,447
May,South,Electronics,B,4472,2394
Jan,North,Furniture,A,8774,2870
Sep,West,Furniture,E,4225,818
Aug,South,Furniture,E,6320,1917
Jul,East,Furniture,A,7350,1512
Oct,South,Furniture,A,5132,1945
Jul,South,Furniture,D,3484,1358
Dec,East,Clothing,A,4516,545
Nov,East,Furniture,D,5270,2731
May,North,Clothing,B,6220,1338
Mar,North,Clothing,A,4916,558
Aug,North,Clothing,B,1989,1724
Aug,North,Electronics,B,4599,2469
May,East,Clothing,C,4268,843
Apr,South,Electronics,E,8733,744
Dec,North,Furniture,B,3016,534
Dec,East,Furniture,A,8659,764
Jan,South,Electronics,B,6195,175
Aug,North,Furniture,D,6606,1103
Aug,West,Clothing,A,3341,1327
Jan,East,Furniture,B,1396,1451
Apr,South,Clothing,C,9198,149
Apr,East,Clothing,D,2344,1344
Nov,North,Clothing,A,1650,2980
Apr,West,Electronics,B,4022,2940
Oct,South,Clothing,D,4838,2649
Jun,North,Clothing,E,4878,2007
Mar,North,Electronics,E,9511,2234
Sep,South,Furniture,E,2648,532
Nov,East,Clothing,A,1909,504
Mar,South,Clothing,E,5326,710
Nov,South,Electronics,A,2294,1721
Jan,North,Electronics,E,4938,1375
Jun,North,Clothing,C,7162,1928
Oct,East,Furniture,C,7856,918
Dec,North,Furniture,B,6860,1922
Nov,North,Electronics,A,6196,2193
Sep,South,Furniture,C,1129,1182
May,South,Electronics,E,2595,1159
